comparison,permutation_delta_auc
standard_plus_trace_axis_vs_standard_CMS_like,4.196971662862037e-05
standard_plus_trace_axis_vs_standard_CMS_like,0.00010439680743312696
standard_plus_trace_axis_vs_standard_CMS_like,-3.057155403074496e-05
standard_plus_trace_axis_vs_standard_CMS_like,-8.214861522093386e-05
standard_plus_trace_axis_vs_standard_CMS_like,0.00014261218855549096
standard_plus_trace_axis_vs_standard_CMS_like,-0.00016397435758819245
standard_plus_trace_axis_vs_standard_CMS_like,0.00013489702908930923
standard_plus_trace_axis_vs_standard_CMS_like,-0.0001662607479117062
standard_plus_trace_axis_vs_standard_CMS_like,6.56483106691308e-05
standard_plus_trace_axis_vs_standard_CMS_like,-5.781676680305381e-06
standard_plus_trace_axis_vs_standard_CMS_like,-3.392042130245798e-05
standard_plus_trace_axis_vs_standard_CMS_like,0.0002140346672336868
standard_plus_trace_axis_vs_standard_CMS_like,-9.294232980239236e-05
standard_plus_trace_axis_vs_standard_CMS_like,-0.00015037615438295848
standard_plus_trace_axis_vs_standard_CMS_like,-0.00011216452759643669
standard_plus_trace_axis_vs_standard_CMS_like,0.00022221536430278022
standard_plus_trace_axis_vs_standard_CMS_like,-0.00022435908987694653
standard_plus_trace_axis_vs_standard_CMS_like,-0.00016833314111153186
standard_plus_trace_axis_vs_standard_CMS_like,7.80038288216156e-05
standard_plus_trace_axis_vs_standard_CMS_like,-7.066410290579306e-05
standard_plus_trace_axis_vs_standard_CMS_like,0.00027430301512176847
standard_plus_trace_axis_vs_standard_CMS_like,6.300525847247052e-05
standard_plus_trace_axis_vs_standard_CMS_like,1.9102059057751752e-05
standard_plus_trace_axis_vs_standard_CMS_like,-2.2691203801938897e-05
standard_plus_trace_axis_vs_standard_CMS_like,0.00013213759249186552
standard_plus_trace_axis_vs_standard_CMS_like,-0.00010211417144556645
standard_plus_trace_axis_vs_standard_CMS_like,-2.4853701052762744e-06
standard_plus_trace_axis_vs_standard_CMS_like,7.304810595276656e-05
standard_plus_trace_axis_vs_standard_CMS_like,3.434841555027823e-05
standard_plus_trace_axis_vs_standard_CMS_like,0.0002715248068470011
standard_plus_trace_axis_vs_standard_CMS_like,5.470066833157539e-06
standard_plus_trace_axis_vs_standard_CMS_like,0.00030707085542380774
standard_plus_trace_axis_vs_standard_CMS_like,-5.954376113503912e-06
standard_plus_trace_axis_vs_standard_CMS_like,-0.00032184041130700614
standard_plus_trace_axis_vs_standard_CMS_like,-0.0003385960106732089
standard_plus_trace_axis_vs_standard_CMS_like,-8.325989853086302e-05
standard_plus_trace_axis_vs_standard_CMS_like,1.0185512229643479e-05
standard_plus_trace_axis_vs_standard_CMS_like,-0.00010630025553504119
standard_plus_trace_axis_vs_standard_CMS_like,0.00022711477213877007
